station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Punjabi Bagh Delhi DPCC,12,3,80,64,43,21,37,0.671875,0.5375,0.5972222222222222,8.655172413793103,29,7.465116279069767,43,6.894736842105263,19,4.045454545454546,22
Punjabi Bagh Delhi DPCC,12,6,43,38,25,13,18,0.6578947368421053,0.5813953488372093,0.6172839506172839,13.25,16,11.2,25,6.8,10,4.545454545454546,11
Punjabi Bagh Delhi DPCC,24,2,100,69,51,18,49,0.7391304347826086,0.51,0.6035502958579881,8.733333333333333,30,8.470588235294118,51,5.526315789473684,19,2.607142857142857,28
Punjabi Bagh Delhi DPCC,24,3,75,59,44,15,31,0.7457627118644068,0.5866666666666667,0.6567164179104478,9.555555555555555,27,9.636363636363637,44,6.0,16,2.8636363636363638,22
Punjabi Bagh Delhi DPCC,24,6,47,45,31,14,16,0.6888888888888889,0.6595744680851063,0.6739130434782609,12.473684210526315,19,12.193548387096774,31,5.6,10,2.6666666666666665,15
Pusa Delhi DPCC,1,2,80,77,67,10,13,0.8701298701298701,0.8375,0.8535031847133757,1.5510204081632653,49,2.8507462686567164,67,1.6,40,0.8,55
Pusa Delhi DPCC,1,3,65,56,50,6,15,0.8928571428571429,0.7692307692307693,0.8264462809917357,1.7647058823529411,34,3.46,50,2.037037037037037,27,0.85,40
Pusa Delhi DPCC,1,6,34,30,28,2,6,0.9333333333333333,0.8235294117647058,0.8749999999999999,2.1666666666666665,18,5.25,28,2.8461538461538463,13,0.8,20
Pusa Delhi DPCC,6,2,84,53,40,13,44,0.7547169811320755,0.47619047619047616,0.5839416058394161,7.6521739130434785,23,7.85,40,4.066666666666666,15,5.863636363636363,22
Pusa Delhi DPCC,6,3,65,47,39,8,26,0.8297872340425532,0.6,0.6964285714285714,7.909090909090909,22,8.025641025641026,39,4.214285714285714,14,6.142857142857143,21
